Model, Mean Squared Error, Mean Absolute Error, R2 Score
Linear Regression,8668.869542204224,57.493037523929445,0.46559299555267564
Gradient Descent,17212.453950606512,85.04940253142483,-0.0016016876813271796
Support Vector Machines,16832.96072968455,75.68600055948087,-0.037696100481730443
Naive Bayes,66505.7119140339,179.98158287705326,-3.0998561703558165
Decision Tree(max-depth = 5),7936.41220290309,53.3969995338221,0.5107465568879461
KNN(#neighbors = 9),7643.60581383773,50.645700231312034,0.5287970979073544
